category,sub_category,title,description,price,image_url
Điện thoại,Iphone,iPhone 15 Pro Max,"Chip Apple A17 Pro 6 nhân | RAM: 8 GB | Dung lượng: 256 GB | Camera sau: Chính 48 MP & Phụ 12 MP, 12 MP | Camera trước: 12 MP | Pin 4422 mAh,  Sạc 20 W",29.590.000,https://cdn.tgdd.vn/Products/Images/42/305658/iphone-15-pro-max-blue-thumbnew-600x600.jpg
Điện thoại,Iphone,iPhone 13,"Chip Apple A15 Bionic | RAM: 4 GB | Dung lượng: 128 GB | Camera sau: 2 camera 12 MP | Camera trước: 12 MP | Pin 3240 mAh,  Sạc 20 W",13.690.000,https://cdn.tgdd.vn/Products/Images/42/223602/iphone-13-xanh-la-thumb-new-600x600.jpg
Điện thoại,Iphone,iPhone 15 Pro,"Chip Apple A17 Pro 6 nhân | RAM: 8 GB | Dung lượng: 128 GB | Camera sau: Chính 48 MP & Phụ 12 MP, 12 MP | Camera trước: 12 MP | Pin 3274 mAh,  Sạc 20 W",24.590.000,https://cdn.tgdd.vn/Products/Images/42/299033/iphone-15-pro-white-thumbnew-600x600.jpg
Điện thoại,Iphone,iPhone 15 Plus,"Chip Apple A16 Bionic | RAM: 6 GB | Dung lượng: 128 GB | Camera sau: Chính 48 MP & Phụ 12 MP | Camera trước: 12 MP | Pin 4383 mAh,  Sạc 20 W",22.190.000,https://cdn.tgdd.vn/Products/Images/42/303891/iphone-15-plus-hong-128gb-thumb-600x600.jpg
Điện thoại,Iphone,iPhone 15,"Chip Apple A16 Bionic | RAM: 6 GB | Dung lượng: 128 GB | Camera sau: Chính 48 MP & Phụ 12 MP | Camera trước: 12 MP | Pin 3349 mAh,  Sạc 20 W",18.990.000,https://cdn.tgdd.vn/Products/Images/42/281570/iphone-15-hong-thumb-1-600x600.jpg
Điện thoại,Iphone,iPhone 11,"Chip Apple A13 Bionic | RAM: 4 GB | Dung lượng: 64 GB | Camera sau: 2 camera 12 MP | Camera trước: 12 MP | Pin 3110 mAh,  Sạc 18 W",8.690.000,https://cdn.tgdd.vn/Products/Images/42/153856/iphone-11-trang-600x600.jpg
Điện thoại,Iphone,iPhone 12,"Chip Apple A14 Bionic | RAM: 4 GB | Dung lượng: 64 GB | Camera sau: 2 camera 12 MP | Camera trước: 12 MP | Pin 2815 mAh,  Sạc 20 W",11.590.000,https://cdn.tgdd.vn/Products/Images/42/213031/iphone-12-trang-13-600x600.jpg
Điện thoại,Iphone,iPhone 14 Pro Max,"Chip Apple A16 Bionic | RAM: 6 GB | Dung lượng: 128 GB | Camera sau: Chính 48 MP & Phụ 12 MP, 12 MP | Camera trước: 12 MP | Pin 4323 mAh,  Sạc 20 W",26.990.000,https://cdn.tgdd.vn/Products/Images/42/251192/iphone-14-pro-max-tim-thumb-600x600.jpg
Điện thoại,Iphone,iPhone 14 Plus,"Chip Apple A15 Bionic | RAM: 6 GB | Dung lượng: 128 GB | Camera sau: 2 camera 12 MP | Camera trước: 12 MP | Pin 4325 mAh,  Sạc 20 W",19.390.000,https://cdn.tgdd.vn/Products/Images/42/245545/iPhone-14-plus-thumb-xanh-1-600x600.jpg
Điện thoại,Iphone,iPhone 14,"Chip Apple A15 Bionic | RAM: 6 GB | Dung lượng: 128 GB | Camera sau: 2 camera 12 MP | Camera trước: 12 MP | Pin 3279 mAh,  Sạc 20 W",16.490.000,https://cdn.tgdd.vn/Products/Images/42/240259/iPhone-14-thumb-tim-1-600x600.jpg
Điện thoại,Samsung,Samsung Galaxy S23 Ultra 5G,"Chip Snapdragon 8 Gen 2 for Galaxy | RAM: 8 GB | Dung lượng: 256 GB | Camera sau: Chính 200 MP & Phụ 12 MP, 10 MP, 10 MP | Camera trước: 12 MP | Pin 5000 mAh,  Sạc 45 W",21.990.000,https://cdn.tgdd.vn/Products/Images/42/249948/samsung-galaxy-s23-ultra-green-thumbnew-600x600.jpg
Điện thoại,Samsung,Samsung Galaxy A55 5G,"Chip Exynos 1480 8 nhân | RAM: 12 GB | Dung lượng: 256 GB | Camera sau: Chính 50 MP & Phụ 12 MP, 5 MP | Camera trước: 32 MP | Pin 5000 mAh,  Sạc 25 W",11.490.000,https://cdn.tgdd.vn/Products/Images/42/322096/samsung-galaxy-a55-5g-xanh-thumb-1-600x600.jpg
Điện thoại,Samsung,Samsung Galaxy M54 5G,"Chip Exynos 1380 8 nhân | RAM: 8 GB | Dung lượng: 256 GB | Camera sau: Chính 108 MP & Phụ 8 MP, 2 MP | Camera trước: 32 MP | Pin 6000 mAh,  Sạc 25 W",8.990.000,https://cdn.tgdd.vn/Products/Images/42/275953/samsung-galaxy-m54-bac-thumb-600x600.jpg
Điện thoại,Samsung,Samsung Galaxy S23 FE 5G,"Chip Exynos 2200 8 nhân | RAM: 8 GB | Dung lượng: 128 GB | Camera sau: Chính 50 MP & Phụ 12 MP, 8 MP | Camera trước: 10 MP | Pin 4500 mAh,  Sạc 25 W",11.890.000,https://cdn.tgdd.vn/Products/Images/42/306994/samsung-galaxy-s23-fe-mint-thumbnew-600x600.jpg
Điện thoại,Samsung,Samsung Galaxy A35 5G,"Chip Exynos 1380 8 nhân | RAM: 8 GB | Dung lượng: 256 GB | Camera sau: Chính 50 MP & Phụ 8 MP, 5 MP | Camera trước: 13 MP | Pin 5000 mAh,  Sạc 25 W",8.790.000,https://cdn.tgdd.vn/Products/Images/42/321772/samsung-galaxy-a35-5g-xanh-thumb-1-600x600.jpg
Điện thoại,Samsung,Samsung Galaxy S24 Ultra 5G,"Chip Snapdragon 8 Gen 3 for Galaxy | RAM: 12 GB | Dung lượng: 256 GB | Camera sau: Chính 200 MP & Phụ 50 MP, 12 MP, 10 MP | Camera trước: 12 MP | Pin 5000 mAh,  Sạc 45 W",26.490.000,https://cdn.tgdd.vn/Products/Images/42/307174/samsung-galaxy-s24-ultra-grey-thumb-600x600.jpg
Điện thoại,Samsung,Samsung Galaxy S24 5G,"Chip Exynos 2400 | RAM: 8 GB | Dung lượng: 256 GB | Camera sau: Chính 50 MP & Phụ 12 MP, 10 MP | Camera trước: 12 MP | Pin 4000 mAh,  Sạc 25 W",19.790.000,https://cdn.tgdd.vn/Products/Images/42/319665/samsung-galaxy-s24-yellow-thumb-600x600.png
Điện thoại,Samsung,Samsung Galaxy S24+ 5G,"Chip Exynos 2400 | RAM: 12 GB | Dung lượng: 256 GB | Camera sau: Chính 50 MP & Phụ 12 MP, 10 MP | Camera trước: 12 MP | Pin 4900 mAh,  Sạc 45 W",20.490.000,https://cdn.tgdd.vn/Products/Images/42/307172/samsung-galaxy-s24-plus-violet-thumb-600x600.jpg
Điện thoại,Samsung,Samsung Galaxy A25 5G,"Chip Exynos 1280 | RAM: 8 GB | Dung lượng: 128 GB | Camera sau: Chính 50 MP & Phụ 8 MP, 2 MP | Camera trước: 13 MP | Pin 5000 mAh,  Sạc 25 W",6.690.000,https://cdn.tgdd.vn/Products/Images/42/319904/samsung-galaxy-a25-5g-xanh-duong-thumb-600x600.jpg
Điện thoại,Samsung,Samsung Galaxy A15 5G,"Chip MediaTek Dimensity 6100+ | RAM: 8 GB | Dung lượng: 256 GB | Camera sau: Chính 50 MP & Phụ 5 MP, 2 MP | Camera trước: 13 MP | Pin 5000 mAh,  Sạc 25 W",5.990.000,https://cdn.tgdd.vn/Products/Images/42/319584/samsung-galaxy-a15-5g-xanh-duong-dam-thumb-600x600.jpg
Điện thoại,Samsung,Samsung Galaxy Z Fold5 5G,"Chip Snapdragon 8 Gen 2 for Galaxy | RAM: 12 GB | Dung lượng: 256 GB | Camera sau: Chính 50 MP & Phụ 12 MP, 10 MP | Camera trước: 10 MP & 4 MP | Pin 4400 mAh,  Sạc 25 W",31.990.000,https://cdn.tgdd.vn/Products/Images/42/301608/samsung-galaxy-z-fold5-blue-thumbnew-600x600.jpg
Điện thoại,Samsung,Samsung Galaxy Z Flip5 5G,"Chip Snapdragon 8 Gen 2 for Galaxy | RAM: 8 GB | Dung lượng: 256 GB | Camera sau: 2 camera 12 MP | Camera trước: 10 MP | Pin 3700 mAh,  Sạc 25 W",18.790.000,https://cdn.tgdd.vn/Products/Images/42/299250/samsung-galaxy-z-flip5-mint-thumbnew-600x600.jpg
Điện thoại,Samsung,Samsung Galaxy S23 FE 5G 256GB,"Chip Exynos 2200 8 nhân | RAM: 8 GB | Dung lượng: 256 GB | Camera sau: Chính 50 MP & Phụ 12 MP, 8 MP | Camera trước: 10 MP | Pin 4500 mAh,  Sạc 25 W",14.890.000,https://cdn.tgdd.vn/Products/Images/42/323459/samsung-galaxy-s23-fe-tim-thumbnew-600x600.jpg
Điện thoại,Samsung,Samsung Galaxy A54 5G 128GB,"Chip Exynos 1380 8 nhân | RAM: 8 GB | Dung lượng: 128 GB | Camera sau: Chính 50 MP & Phụ 12 MP, 5 MP | Camera trước: 32 MP | Pin 5000 mAh,  Sạc 25 W",9.390.000,https://cdn.tgdd.vn/Products/Images/42/303585/samsung-galaxy-a54-5g-xanh-la-ma-thumb-600x600.jpg
Điện thoại,Samsung,Samsung Galaxy A34 5G 256GB,"Chip MediaTek Dimensity 1080 8 nhân | RAM: 8 GB | Dung lượng: 256 GB | Camera sau: Chính 48 MP & Phụ 8 MP, 5 MP | Camera trước: 13 MP | Pin 5000 mAh,  Sạc 25 W",8.290.000,https://cdn.tgdd.vn/Products/Images/42/298377/samsung-galaxy-a34-5g-bac-thumb-1-600x600.jpg
Điện thoại,Samsung,Samsung Galaxy M34 5G,"Chip Exynos 1280 | RAM: 8 GB | Dung lượng: 128 GB | Camera sau: Chính 50 MP & Phụ 8 MP, 2 MP | Camera trước: 13 MP | Pin 6000 mAh,  Sạc 25 W",5.590.000,https://cdn.tgdd.vn/Products/Images/42/309834/samsung-galaxy-m34-5g-den-600x600.jpg
Điện thoại,Samsung,Samsung Galaxy A15,"Chip MediaTek Helio G99 | RAM: 8 GB | Dung lượng: 256 GB | Camera sau: Chính 50 MP & Phụ 5 MP, 2 MP | Camera trước: 13 MP | Pin 5000 mAh,  Sạc 25 W",4.990.000,https://cdn.tgdd.vn/Products/Images/42/316075/thumb-xanh-duong-4g-600x600.jpg
Điện thoại,Samsung,Samsung Galaxy M15 5G 6GB,"Chip MediaTek Dimensity 6100+ | RAM: 6 GB | Dung lượng: 128 GB | Camera sau: Chính 50 MP & Phụ 5 MP, 2 MP | Camera trước: 13 MP | Pin 6000 mAh,  Sạc 25 W",4.990.000,https://cdn.tgdd.vn/Products/Images/42/320964/samsung-galaxy-m15-5g-blue-thumb-600x600.jpg
Điện thoại,Samsung,Samsung Galaxy A24,"Chip MediaTek Helio G99 | RAM: 6 GB | Dung lượng: 128 GB | Camera sau: Chính 50 MP & Phụ 5 MP, 2 MP | Camera trước: 13 MP | Pin 5000 mAh,  Sạc 25 W",4.590.000,https://cdn.tgdd.vn/Products/Images/42/274018/samsung-galaxy-a24-black-thumb-600x600.jpg
Điện thoại,Samsung,Samsung Galaxy A14 5G,"Chip MediaTek Dimensity 700 | RAM: 4 GB | Dung lượng: 128 GB | Camera sau: Chính 50 MP & Phụ 2 MP, 2 MP | Camera trước: 13 MP | Pin 5000 mAh,  Sạc 15 W",3.790.000,https://cdn.tgdd.vn/Products/Images/42/271721/samsung-galaxy-a14-5g-thumb-nau-600x600.jpg
